Id;Number;PriceMultiplier;CarriageId
266;26;1.16;7
267;27;1.14;7
268;28;0.97;7
269;29;1.16;7
270;30;0.91;7
271;31;1.04;7
272;32;0.95;7
273;33;0.82;7
274;34;0.92;7
275;35;1.01;7
276;36;0.85;7
277;37;1.19;7
278;38;0.95;7
279;39;1.11;7
280;40;1;7
281;1;1.11;8
282;2;1.15;8
283;3;1.09;8
284;4;0.92;8
285;5;1.19;8
286;6;1.13;8
287;7;1.06;8
288;8;0.96;8
289;9;1.1;8
290;10;0.82;8
291;11;1.09;8
292;12;0.8;8
293;13;1.18;8
294;14;1.17;8
295;15;0.91;8
296;16;1.17;8
297;17;1.08;8
298;18;0.94;8
299;19;1.01;8
300;20;0.83;8
301;21;1.08;8
302;22;0.87;8
303;23;1.1;8
304;24;1.07;8
305;25;1.18;8
306;26;1.09;8
307;27;1.07;8
308;28;0.92;8
309;29;1.16;8
310;30;1.09;8
311;31;1.09;8
312;32;0.98;8
313;33;1.12;8
314;34;1.16;8
315;35;1.05;8
316;36;1.06;8
317;37;0.83;8
318;38;0.84;8
319;39;1.05;8
320;40;0.87;8
321;1;0.9;9
322;2;0.98;9
323;3;1.07;9
324;4;1.13;9
325;5;1.02;9
326;6;1.03;9
327;7;0.97;9
328;8;0.84;9
329;9;0.8;9
330;10;1.03;9
331;11;0.97;9
332;12;1.05;9
333;13;1.14;9
334;14;1.08;9
335;15;1.11;9
336;16;1.03;9
337;17;0.84;9
338;18;0.82;9
339;19;0.93;9
340;20;0.9;9
341;21;0.86;9
342;22;0.93;9
343;23;0.99;9
344;24;0.81;9
345;25;0.92;9
346;26;0.9;9
347;27;0.88;9
348;28;0.81;9
349;29;0.91;9
350;30;1.05;9
351;31;1.14;9
352;32;1.03;9
353;33;1.09;9
354;34;0.94;9
355;35;1.13;9
356;36;0.89;9
357;37;0.99;9
358;38;1.17;9
359;39;0.84;9
360;40;0.95;9
361;1;0.92;10
362;2;1.02;10
363;3;0.91;10
364;4;0.93;10
365;5;0.91;10
366;6;0.84;10
367;7;1.04;10
368;8;0.84;10
369;9;0.84;10
370;10;0.82;10
371;11;1.01;10
372;12;0.81;10
373;13;1.11;10
374;14;0.95;10
375;15;0.8;10
376;16;1.17;10
377;17;1.18;10
378;18;1.06;10
379;19;1.01;10
380;20;0.91;10
381;21;0.94;10
382;22;0.95;10
383;23;1.13;10
384;24;0.95;10
385;25;1.09;10
386;26;1.14;10
387;27;1.16;10
388;28;1;10
389;29;1.14;10
390;30;1.02;10
391;31;0.83;10
392;32;0.87;10
393;33;1.17;10
394;34;1.18;10
395;35;1.17;10
396;36;1.03;10
397;37;0.81;10
398;38;0.86;10
399;39;1.09;10
400;40;0.88;10
401;1;1.06;11
402;2;0.84;11
403;3;1.17;11
404;4;0.89;11
405;5;0.83;11
406;6;1.13;11
407;7;1.12;11
408;8;0.94;11
409;9;0.93;11
410;10;1.16;11
411;11;0.9;11
412;12;1.13;11
413;13;0.95;11
414;14;1.12;11
415;15;0.8;11
416;16;1.16;11
417;17;1.09;11
418;18;1.16;11
419;19;1.03;11
420;20;0.97;11
421;21;0.88;11
422;22;0.84;11
423;23;0.89;11
424;24;1.02;11
425;25;1.18;11
426;26;0.94;11
427;27;0.83;11
428;28;1.12;11
429;29;0.97;11
430;30;0.97;11
431;31;1.15;11
432;32;1.12;11
433;33;1.17;11
434;34;0.93;11
435;35;1.05;11
436;36;0.9;11
437;37;0.98;11
438;38;1.03;11
439;39;0.92;11
440;40;1.16;11
441;1;0.82;12
442;2;1.01;12
443;3;0.86;12
444;4;1.18;12
445;5;0.91;12
446;6;0.9;12
447;7;1.11;12
448;8;0.84;12
449;9;1.17;12
450;10;0.81;12
451;11;1.14;12
452;12;0.85;12
453;13;1.02;12
454;14;0.91;12
455;15;1.19;12
456;16;1.01;12
457;17;1.14;12
458;18;0.94;12
459;19;0.91;12
460;20;1.08;12
461;21;1.09;12
462;22;1.19;12
463;23;1.17;12
464;24;1.16;12
465;25;0.8;12
466;26;0.98;12
467;27;1.15;12
468;28;0.82;12
469;29;0.87;12
470;30;1.09;12
471;31;0.97;12
472;32;0.86;12
473;33;1.03;12
474;34;1.07;12
475;35;0.95;12
476;36;1.06;12
477;37;1.17;12
478;38;0.9;12
479;39;0.91;12
480;40;1.07;12
